Volatility 3 Framework 2.27.0

PID	Process	Offset	HandleValue	Type	GrantedAccess	Name

5848	powershell.exe	0x8c88b097c660	0x4	Event	0x1f0003	-
5848	powershell.exe	0x8c88b5b1f400	0x8	WaitCompletionPacket	0x1	-
5848	powershell.exe	0x8c88b237bec0	0xc	IoCompletion	0x1f0003	-
5848	powershell.exe	0x8c88b47845b0	0x10	TpWorkerFactory	0xf00ff	-
5848	powershell.exe	0x8c88b5b66140	0x14	IRTimer	0x100002	-
5848	powershell.exe	0x8c88b1313b20	0x18	WaitCompletionPacket	0x1	-
5848	powershell.exe	0x8c88b460d490	0x1c	IRTimer	0x100002	-
5848	powershell.exe	0x8c88b04d5a70	0x20	WaitCompletionPacket	0x1	-
5848	powershell.exe	0x8c88af1cb620	0x24	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b567ac40	0x28	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b0d35d10	0x2c	EtwRegistration	0x804	-
5848	powershell.exe	0xd086a4673080	0x30	Directory	0x3	KnownDlls
5848	powershell.exe	0x8c88b3f3fab0	0x34	Event	0x1f0003	-
5848	powershell.exe	0x8c88b47ed440	0x38	Event	0x1f0003	-
5848	powershell.exe	0x8c88b3e2c370	0x3c	File	0x100020	\Device\HarddiskVolume2\Windows
5848	powershell.exe	0x8c88b54b23b0	0x40	Event	0x1f0003	-
5848	powershell.exe	0xd086a464f650	0x44	Directory	0x3	KnownDlls32
5848	powershell.exe	0x8c88b32da720	0x48	WaitCompletionPacket	0x1	-
5848	powershell.exe	0x8c88b6232d40	0x4c	File	0x12019f	\Device\ConDrv\Input
5848	powershell.exe	0x8c88b1294570	0x50	File	0x12019f	\Device\ConDrv\Output
5848	powershell.exe	0x8c88b1294570	0x54	File	0x12019f	\Device\ConDrv\Output
5848	powershell.exe	0x8c88af63f500	0x58	IoCompletion	0x1f0003	-
5848	powershell.exe	0x8c88b135d3e0	0x5c	TpWorkerFactory	0xf00ff	-
5848	powershell.exe	0x8c88b153bd20	0x60	IRTimer	0x100002	-
5848	powershell.exe	0x8c88b2a66060	0x64	WaitCompletionPacket	0x1	-
5848	powershell.exe	0x8c88b113e890	0x68	IRTimer	0x100002	-
5848	powershell.exe	0x8c88b5b41060	0x6c	WaitCompletionPacket	0x1	-
5848	powershell.exe	0x8c88b4a0c070	0x70	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b41c4f90	0x74	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b454d7d0	0x78	EtwRegistration	0x804	-
5848	powershell.exe	0xd086a464f650	0x7c	Directory	0x3	KnownDlls32
5848	powershell.exe	0x8c88afa23580	0x80	Event	0x1f0003	-
5848	powershell.exe	0x8c88b44e65b0	0x84	Event	0x1f0003	-
5848	powershell.exe	0x8c88b2a404e0	0x8c	File	0x12019f	\Device\ConDrv\Connect
5848	powershell.exe	0x8c88b380c2b0	0x90	File	0x12019f	\Device\ConDrv\Reference
5848	powershell.exe	0x8c88b0503a80	0x94	ALPC Port	0x1f0001	-
5848	powershell.exe	0x8c88b5a35910	0x98	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b357c6b0	0x9c	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b07baac0	0xa0	IoCompletion	0x1f0003	-
5848	powershell.exe	0x8c88af3f09d0	0xa4	TpWorkerFactory	0xf00ff	-
5848	powershell.exe	0x8c88b496b060	0xa8	IRTimer	0x100002	-
5848	powershell.exe	0x8c88afaa3b30	0xac	WaitCompletionPacket	0x1	-
5848	powershell.exe	0x8c88b1766360	0xb0	IRTimer	0x100002	-
5848	powershell.exe	0x8c88afd1c2d0	0xb4	WaitCompletionPacket	0x1	-
5848	powershell.exe	0xd086a9bfb2c0	0xb8	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\SORTING\VERSIONS
5848	powershell.exe	0x8c88b3635250	0xbc	EtwRegistration	0x804	-
5848	powershell.exe	0xd086a5e46510	0xc0	Key	0x1	MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER
5848	powershell.exe	0xd086a878c2c0	0xc4	Key	0x9	MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\IMAGE FILE EXECUTION OPTIONS
5848	powershell.exe	0x8c88b1341d60	0xc8	File	0x120089	\Device\HarddiskVolume2\Windows\SysWOW64\WindowsPowerShell\v1.0\en-US\powershell.exe.mui
5848	powershell.exe	0x8c88b379d770	0xcc	Event	0x1f0003	-
5848	powershell.exe	0x8c88af679d40	0xd0	IoCompletion	0x1f0003	-
5848	powershell.exe	0x8c88b5a363b0	0xd4	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88af122d40	0xd8	WindowStation	0xf016e	Service-0x0-6abe62$
5848	powershell.exe	0x8c88b1aa0520	0xdc	Desktop	0xf00cf	Default
5848	powershell.exe	0x8c88af122d40	0xe0	WindowStation	0xf016e	Service-0x0-6abe62$
5848	powershell.exe	0xd086b1db9910	0xe4	Key	0x1	MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\CUSTOMLOCALE
5848	powershell.exe	0x8c88afe2c4c0	0xe8	Process	0x1f3fff	powershell.exe Pid 5848
5848	powershell.exe	0x8c88afeddc70	0xec	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b3fd2800	0xf0	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88afeb6b30	0xf4	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b113d5b0	0xf8	File	0x100001	\Device\CNG
5848	powershell.exe	0x8c88b3742e50	0xfc	Semaphore	0x100003	-
5848	powershell.exe	0x8c88b1a744d0	0x100	Semaphore	0x100003	-
5848	powershell.exe	0xd086aa2d3f70	0x104	Key	0x20019	MACHINE
5848	powershell.exe	0xd086b205c970	0x108	Key	0x20019	MACHINE\SOFTWARE\MICROSOFT\OLE
5848	powershell.exe	0x8c88b417ca20	0x10c	Event	0x1f0003	-
5848	powershell.exe	0xd086a8c81f70	0x110	Key	0x20019	USER\.DEFAULT\SOFTWARE\CLASSES\LOCAL SETTINGS\SOFTWARE\MICROSOFT
5848	powershell.exe	0xd086a53a45f0	0x114	Key	0x20019	USER\.DEFAULT\SOFTWARE\CLASSES\LOCAL SETTINGS
5848	powershell.exe	0x8c88af233810	0x118	Event	0x1f0003	-
5848	powershell.exe	0x8c88af669c00	0x11c	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b5b4b8a0	0x120	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b42f61f0	0x124	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b1a9d510	0x128	Event	0x1f0003	-
5848	powershell.exe	0x8c88b20f6190	0x12c	Event	0x1f0003	-
5848	powershell.exe	0x8c88b5730cc0	0x130	Event	0x1f0003	-
5848	powershell.exe	0x8c88af63a550	0x134	Event	0x1f0003	-
5848	powershell.exe	0x8c88b1ae6ce0	0x138	Event	0x1f0003	-
5848	powershell.exe	0x8c88b478ae50	0x13c	Event	0x1f0003	-
5848	powershell.exe	0x8c88b4789250	0x140	EtwRegistration	0x804	-
5848	powershell.exe	0xd086aadc72e0	0x144	Directory	0xf	BaseNamedObjects
5848	powershell.exe	0x8c88b2943f90	0x148	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88aef14ed0	0x14c	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b53b5f90	0x150	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b5b7a1f0	0x154	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88af457070	0x158	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b6210070	0x15c	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b40e4070	0x160	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b432eca0	0x164	Mutant	0x1f0001	-
5848	powershell.exe	0xd086a4a952e0	0x168	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\SORTING\IDS
5848	powershell.exe	0x8c88b201ae50	0x16c	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b381ce30	0x170	Mutant	0x1f0001	-
5848	powershell.exe	0xd086a8bdb360	0x174	Key	0xf003f	USER\.DEFAULT
5848	powershell.exe	0x8c88b54ca880	0x178	Event	0x1f0003	-
5848	powershell.exe	0x8c88af0df6e0	0x17c	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b5b06560	0x180	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b3bdd9d0	0x184	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b5396920	0x188	Event	0x1f0003	-
5848	powershell.exe	0x8c88af59d070	0x18c	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b48613d0	0x190	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b1ddb590	0x194	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b3db4370	0x198	EtwRegistration	0x804	-
5848	powershell.exe	0xd086a91e46f0	0x19c	Key	0x1	MACHINE\SOFTWARE\WOW6432NODE\MICROSOFT\NET FRAMEWORK SETUP\NDP\V4\FULL
5848	powershell.exe	0x8c88b43cbf90	0x1a0	EtwRegistration	0x804	-
5848	powershell.exe	0xd086a97ecd50	0x1a4	Key	0x20019	MACHINE\SOFTWARE\WOW6432NODE\MICROSOFT\.NETFRAMEWORK
5848	powershell.exe	0x8c88aeeee960	0x1a8	Event	0x1f0003	-
5848	powershell.exe	0x8c88af12a5e0	0x1ac	Event	0x1f0003	-
5848	powershell.exe	0x8c88afe22940	0x1b0	Event	0x1f0003	-
5848	powershell.exe	0x8c88af2c7650	0x1b4	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88af15a770	0x1b8	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b4772c70	0x1bc	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b1752860	0x1c0	EtwRegistration	0x804	-
5848	powershell.exe	0xd086aa307060	0x1c4	Directory	0xf000f	-
5848	powershell.exe	0xd086a961f490	0x1c8	Section	0xf0007	Cor_Private_IPCBlock_v4_5848
5848	powershell.exe	0xd086a79c2e20	0x1cc	Section	0xf0007	Cor_SxSPublic_IPCBlock
5848	powershell.exe	0x8c88af5377a0	0x1d0	Event	0x1f0003	-
5848	powershell.exe	0x8c88b201afe0	0x1d4	Event	0x1f0003	-
5848	powershell.exe	0x8c88b1ac2140	0x1d8	Mutant	0x1f0001	-
5848	powershell.exe	0x8c88b17f0b10	0x1dc	Event	0x1f0003	-
5848	powershell.exe	0x8c88b623ed60	0x1e0	Event	0x1f0003	-
5848	powershell.exe	0x8c88b41a3800	0x1e4	Event	0x1f0003	-
5848	powershell.exe	0x8c88b13eaa20	0x1e8	Event	0x1f0003	-
5848	powershell.exe	0x8c88b53247f0	0x1ec	Event	0x1f0003	-
5848	powershell.exe	0x8c88afc13410	0x1f0	Event	0x1f0003	-
5848	powershell.exe	0x8c88b22df380	0x1f4	Event	0x1f0003	-
5848	powershell.exe	0x8c88afe96310	0x1f8	Event	0x1f0003	-
5848	powershell.exe	0x8c88af459060	0x1fc	Event	0x1f0003	-
5848	powershell.exe	0x8c88b631fbb0	0x200	Event	0x1f0003	-
5848	powershell.exe	0x8c88b1a71f00	0x204	Mutant	0x1f0001	-
5848	powershell.exe	0x8c88afa73700	0x208	Thread	0x1fffff	Tid 4952 Pid 5848
5848	powershell.exe	0x8c88afd06700	0x20c	Thread	0x1fffff	Tid 6048 Pid 5848
5848	powershell.exe	0x8c88b45fa7c0	0x210	Event	0x1f0003	-
5848	powershell.exe	0x8c88b42c04f0	0x214	Event	0x1f0003	-
5848	powershell.exe	0x8c88af3f83d0	0x218	Event	0x1f0003	-
5848	powershell.exe	0x8c88b494e380	0x21c	Event	0x1f0003	-
5848	powershell.exe	0x8c88b574be50	0x220	Event	0x1f0003	-
5848	powershell.exe	0x8c88af04c3c0	0x224	Event	0x1f0003	-
5848	powershell.exe	0x8c88b33d3ce0	0x228	Event	0x1f0003	-
5848	powershell.exe	0x8c88b43a8e50	0x22c	Event	0x1f0003	-
5848	powershell.exe	0x8c88b4206230	0x230	Event	0x1f0003	-
5848	powershell.exe	0x8c88b5a424f0	0x234	Event	0x1f0003	-
5848	powershell.exe	0x8c88b4b71bb0	0x238	Event	0x1f0003	-
5848	powershell.exe	0x8c88b41924b0	0x23c	Event	0x1f0003	-
5848	powershell.exe	0x8c88b4398880	0x240	Event	0x1f0003	-
5848	powershell.exe	0x8c88afae1200	0x244	Event	0x1f0003	-
5848	powershell.exe	0x8c88b3f9f7b0	0x248	Event	0x1f0003	-
5848	powershell.exe	0x8c88b12fe4b0	0x24c	Event	0x1f0003	-
5848	powershell.exe	0x8c88b45c1990	0x250	Event	0x1f0003	-
5848	powershell.exe	0x8c88aeb5fd00	0x254	Event	0x100001	LowMemoryCondition
5848	powershell.exe	0x8c88af567e50	0x258	Event	0x1f0003	-
5848	powershell.exe	0x8c88b54bfa60	0x25c	Event	0x1f0003	-
5848	powershell.exe	0x8c88b39f9310	0x260	Event	0x1f0003	-
5848	powershell.exe	0x8c88b11b37d0	0x264	Event	0x1f0003	-
5848	powershell.exe	0x8c88af2a9c70	0x268	Event	0x1f0003	-
5848	powershell.exe	0x8c88b43235f0	0x26c	Event	0x1f0003	-
5848	powershell.exe	0x8c88b3d78340	0x270	Event	0x1f0003	-
5848	powershell.exe	0x8c88b1ab7100	0x274	Event	0x1f0003	-
5848	powershell.exe	0x8c88af0ce700	0x278	Thread	0x1fffff	Tid 8964 Pid 5848
5848	powershell.exe	0x8c88afa67af0	0x27c	Event	0x1f0003	-
5848	powershell.exe	0x8c88b3f2f680	0x280	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88af220d60	0x284	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b45d88b0	0x288	Event	0x1f0003	-
5848	powershell.exe	0x8c88af0ce700	0x28c	Thread	0x1fffff	Tid 8964 Pid 5848
5848	powershell.exe	0xd086b137a690	0x294	Key	0x20019	USER\.DEFAULT\CONTROL PANEL\INTERNATIONAL
5848	powershell.exe	0x8c88afd5dec0	0x298	Event	0x1f0003	CPFATE_5848_v4.0.30319
5848	powershell.exe	0x8c88b6229770	0x29c	Event	0x1f0003	-
5848	powershell.exe	0x8c88b3930f00	0x2a0	Event	0x1f0003	-
5848	powershell.exe	0x8c88b19369d0	0x2a4	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b1353890	0x2a8	Event	0x1f0003	-
5848	powershell.exe	0x8c88b360e060	0x2ac	Event	0x1f0003	-
5848	powershell.exe	0x8c88b2f8e570	0x2b0	Event	0x1f0003	-
5848	powershell.exe	0x8c88aeeb8b00	0x2b4	EtwRegistration	0x804	-
5848	powershell.exe	0xd086a72dfde0	0x2b8	Key	0x20019	MACHINE\SOFTWARE\MICROSOFT\FUSION\PUBLISHERPOLICY\DEFAULT
5848	powershell.exe	0x8c88b2fd4620	0x2bc	File	0x120089	\Device\HarddiskVolume2\Windows\assembly\pubpol30.dat
5848	powershell.exe	0x8c88b135dc40	0x2c0	File	0x120089	\Device\HarddiskVolume2\Windows\Microsoft.NET\assembly\GAC_MSIL\Microsoft.PowerShell.ConsoleHost\v4.0_3.0.0.0__31bf3856ad364e35\Microsoft.PowerShell.ConsoleHost.dll
5848	powershell.exe	0x8c88b09f6e20	0x2c4	EtwRegistration	0x804	-
5848	powershell.exe	0xd086a6e3b980	0x2c8	Section	0xf0005	-
5848	powershell.exe	0x8c88b3978ef0	0x2cc	File	0x120089	\Device\HarddiskVolume2\Windows\Microsoft.NET\assembly\GAC_MSIL\System.Management.Automation\v4.0_3.0.0.0__31bf3856ad364e35\System.Management.Automation.dll
5848	powershell.exe	0x8c88b35b2990	0x2d0	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b058a2c0	0x2d4	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b3907290	0x2d8	Semaphore	0x100003	-
5848	powershell.exe	0x8c88b48974a0	0x2dc	Semaphore	0x100003	-
5848	powershell.exe	0x8c88b48dc250	0x2e0	Event	0x1f0003	-
5848	powershell.exe	0x8c88af4764e0	0x2e4	File	0x100003	\Device\KsecDD
5848	powershell.exe	0x8c88b46b33a0	0x2e8	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b48d24b0	0x2ec	EtwRegistration	0x804	-
5848	powershell.exe	0xd086a92b1130	0x2f4	Section	0xf0005	-
5848	powershell.exe	0x8c88b53749c0	0x2f8	Event	0x1f0003	-
5848	powershell.exe	0xd086a4f3f790	0x2fc	Section	0x4	__ComCatalogCache__
5848	powershell.exe	0xd086a7cbb6b0	0x300	Key	0xf003f	MACHINE\SOFTWARE\CLASSES
5848	powershell.exe	0x8c88b36e29a0	0x304	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88aeb5fb00	0x308	Event	0x100001	MaximumCommitCondition
5848	powershell.exe	0xd086a7c397b0	0x30c	Key	0x20019	MACHINE\SOFTWARE\MICROSOFT\WINDOWSRUNTIME
5848	powershell.exe	0xd086a715cf70	0x310	Key	0x20019	MACHINE\SOFTWARE\MICROSOFT\WINDOWSRUNTIME\ACTIVATABLECLASSID
5848	powershell.exe	0x8c88aec2f610	0x314	Event	0x1f0003	-
5848	powershell.exe	0x8c88b22c8920	0x318	Event	0x1f0003	-
5848	powershell.exe	0x8c88af6be560	0x31c	WaitCompletionPacket	0x1	-
5848	powershell.exe	0x8c88b0631c50	0x320	Mutant	0x1f0001	SM0:5848:168:WilStaging_02
5848	powershell.exe	0x8c88aeee9080	0x324	Semaphore	0x1f0003	SM0:5848:168:WilStaging_02_p0
5848	powershell.exe	0xd086b1d94c60	0x328	Key	0x10	USER\.DEFAULT\SOFTWARE\CLASSES
5848	powershell.exe	0x8c88b170a900	0x32c	Event	0x1f0003	-
5848	powershell.exe	0x8c88afd06700	0x330	Thread	0x1fffff	Tid 6048 Pid 5848
5848	powershell.exe	0x8c88b496e700	0x334	ALPC Port	0x1f0001	-
5848	powershell.exe	0xd086a840e360	0x338	Key	0xf003f	MACHINE\SOFTWARE\CLASSES
5848	powershell.exe	0x8c88b471da00	0x33c	Event	0x1f0003	-
5848	powershell.exe	0x8c88b3178090	0x340	ALPC Port	0x1f0001	OLEF0B61BF663A71E81D427E56EE490
5848	powershell.exe	0x8c88b41c2300	0x344	Event	0x1f0003	-
5848	powershell.exe	0x8c88afde5070	0x350	ALPC Port	0x1f0001	-
5848	powershell.exe	0x8c88af5a4080	0x358	Thread	0x1fffff	Tid 2760 Pid 6768
5848	powershell.exe	0x8c88af2af070	0x35c	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b224bce0	0x360	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b0631aa0	0x364	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b1718bd0	0x368	Event	0x1f0003	-
5848	powershell.exe	0x8c88b1189920	0x36c	Semaphore	0x1f0003	-
5848	powershell.exe	0x8c88aee589e0	0x370	Semaphore	0x1f0003	-
5848	powershell.exe	0x8c88b3b06540	0x374	IoCompletion	0x1f0003	-
5848	powershell.exe	0x8c88af339390	0x378	Event	0x1f0003	-
5848	powershell.exe	0x8c88b55cd4e0	0x37c	Event	0x1f0003	-
5848	powershell.exe	0x8c88b6239d90	0x380	Event	0x1f0003	-
5848	powershell.exe	0x8c88b119cab0	0x384	Event	0x1f0003	-
5848	powershell.exe	0x8c88b5798080	0x388	Thread	0x1fffff	Tid 7920 Pid 5848
5848	powershell.exe	0x8c88b55e4580	0x38c	Thread	0x1fffff	Tid 12144 Pid 5848
5848	powershell.exe	0x8c88b6b46400	0x394	Thread	0x1fffff	Tid 7828 Pid 5848
5848	powershell.exe	0x8c88b4b02dd0	0x3a0	EtwRegistration	0x804	-
5848	powershell.exe	0xd086b1b2bcc0	0x3a4	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\LOCALE
5848	powershell.exe	0xd086a7477b60	0x3a8	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\LOCALE\ALTERNATE SORTS
5848	powershell.exe	0xd086a69ba810	0x3ac	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\LANGUAGE GROUPS
5848	powershell.exe	0x8c88af3d0fe0	0x3b0	Event	0x1f0003	-
5848	powershell.exe	0x8c88b4a60860	0x3b4	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b5798080	0x3b8	Thread	0x1fffff	Tid 7920 Pid 5848
5848	powershell.exe	0x8c88b1a94d40	0x3bc	File	0x120089	\Device\HarddiskVolume2\Windows\SysWOW64\en-US\winnlsres.dll.mui
5848	powershell.exe	0x8c88b56f1500	0x3c0	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b28fc4b0	0x3c4	EtwRegistration	0x804	-
5848	powershell.exe	0xd086a8e078b0	0x3c8	Key	0xf003f	MACHINE
5848	powershell.exe	0x8c88af0bb3c0	0x3cc	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b42f2b40	0x3d0	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b466a770	0x3d4	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b33d9410	0x3d8	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b5331930	0x3dc	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b362d070	0x3e0	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88af3cc240	0x3e4	File	0x120089	\Device\DeviceApi\CMApi
5848	powershell.exe	0x8c88b17ef0d0	0x3e8	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b622f640	0x3f0	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b17f9d90	0x3f4	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b2289230	0x3f8	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88af17a420	0x3fc	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b47a6eb0	0x404	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b4a8e3e0	0x408	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b239b570	0x40c	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88af2158b0	0x410	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88afaa9070	0x414	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b1712bf0	0x418	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b1774e70	0x41c	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b062c7d0	0x420	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b1245a40	0x424	Semaphore	0x100003	-
5848	powershell.exe	0x8c88b2ba4a20	0x428	Semaphore	0x100003	-
5848	powershell.exe	0x8c88b4377140	0x42c	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88aee677a0	0x430	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b4179bb0	0x434	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b5343940	0x438	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b576c430	0x43c	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88af1c9ac0	0x440	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b574fb60	0x444	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b56b1460	0x448	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b366f240	0x44c	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b1112f90	0x450	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b12e8b20	0x454	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b46fab20	0x458	EtwRegistration	0x804	-
5848	powershell.exe	0xd086a4fb3e90	0x45c	Section	0x6	windows_shell_global_counters
5848	powershell.exe	0xd086a5dae7e0	0x460	Key	0x20019	MACHINE\SOFTWARE\WOW6432NODE\MICROSOFT\WINDOWS\CURRENTVERSION\EXPLORER\FOLDERDESCRIPTIONS\{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\PROPERTYBAG
5848	powershell.exe	0xd086a698e110	0x464	Key	0x20019	MACHINE\SOFTWARE\WOW6432NODE\MICROSOFT\WINDOWS\CURRENTVERSION\EXPLORER\FOLDERDESCRIPTIONS\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\PROPERTYBAG
5848	powershell.exe	0xd086a88f0070	0x468	Key	0x20019	MACHINE\SOFTWARE\WOW6432NODE\MICROSOFT\WINDOWS\CURRENTVERSION\EXPLORER\FOLDERDESCRIPTIONS\{D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\PROPERTYBAG
5848	powershell.exe	0xd086a9fca290	0x46c	Key	0x20019	MACHINE\SOFTWARE\WOW6432NODE\MICROSOFT\WINDOWS\CURRENTVERSION\EXPLORER\FOLDERDESCRIPTIONS\{905E63B6-C1BF-494E-B29C-65B732D3D21A}\PROPERTYBAG
5848	powershell.exe	0x8c88b395f2c0	0x470	EtwRegistration	0x804	-
5848	powershell.exe	0x8c88b4757560	0x474	File	0x120089	\Device\HarddiskVolume2\Windows\Microsoft.NET\assembly\GAC_MSIL\System.DirectoryServices\v4.0_4.0.0.0__b03f5f7f11d50a3a\System.DirectoryServices.dll
