Volatility 3 Framework 2.27.0

PID	Process	SID	Name

8260	p.exe	S-1-5-21-3445421715-2530590580-3149308974-1193	spsql
8260	p.exe	S-1-5-21-3445421715-2530590580-3149308974-513	Domain Users
8260	p.exe	S-1-1-0	Everyone
8260	p.exe	S-1-5-32-545	Users
8260	p.exe	S-1-5-32-544	Administrators
8260	p.exe	S-1-5-2	Network
8260	p.exe	S-1-5-11	Authenticated Users
8260	p.exe	S-1-5-15	This Organization
8260	p.exe	S-1-5-21-3445421715-2530590580-3149308974-512	Domain Admins
8260	p.exe	S-1-18-1	Authentication Authority Asserted Identity
8260	p.exe	S-1-5-21-3445421715-2530590580-3149308974-572	-
8260	p.exe	S-1-16-12288	High Mandatory Level
