Volatility 3 Framework 2.27.0

PID	Process	SID	Name

2876	WmiPrvSE.exe	S-1-5-20	NT Authority
2876	WmiPrvSE.exe	S-1-16-16384	System Mandatory Level
2876	WmiPrvSE.exe	S-1-1-0	Everyone
2876	WmiPrvSE.exe	S-1-5-32-545	Users
2876	WmiPrvSE.exe	S-1-5-6	Service
2876	WmiPrvSE.exe	S-1-2-1	Console Logon (Users who are logged onto the physical console)
2876	WmiPrvSE.exe	S-1-5-11	Authenticated Users
2876	WmiPrvSE.exe	S-1-5-15	This Organization
2876	WmiPrvSE.exe	S-1-5-86-615999462-62705297-2911207457-59056572-3668589837	WMI (Network Service)
2876	WmiPrvSE.exe	S-1-5-5-0-136691	Logon Session
