Volatility 3 Framework 2.27.0
             |   PID | PPID |  ImageFileName |      Offset(V) | Threads | Handles | SessionId | Wow64 |                     CreateTime |                       ExitTime |                                                                                                                                  Audit |                                                                                                                                                                                                                                                          Cmd |                                                                                                    Path
*            |     4 |    0 |         System | 0x8c88aea4e040 |     135 |       - |       N/A | False | 2018-08-30 13:51:58.000000 UTC |                            N/A |                                                                                                                                      - |                                                                                                                                                                                                                                                            - |                                                                                                       -
**           |  1484 |    4 | MemCompression | 0x8c88b3152580 |      58 |       - |       N/A | False | 2018-08-30 13:52:22.000000 UTC |                            N/A |                                                                                                                         MemCompression |                                                                                                                                                                                                                                                            - |                                                                                                       -
**           |   388 |    4 |       smss.exe | 0x8c88af90c580 |       2 |       - |       N/A | False | 2018-08-30 13:51:58.000000 UTC |                            N/A |                                                                                      \Device\HarddiskVolume2\Windows\System32\smss.exe |                                                                                                                                                                                                                                \SystemRoot\System32\smss.exe |                                                                           \SystemRoot\System32\smss.exe
***          |   624 |  388 |       smss.exe | 0x8c88b2b43080 |       0 |       - |         1 | False | 2018-08-30 13:52:20.000000 UTC | 2018-08-30 13:52:20.000000 UTC |                                                                                      \Device\HarddiskVolume2\Windows\System32\smss.exe |                                                                                                                                                                                                                                                            - |                                                                                                       -
****         |   648 |  624 |      csrss.exe | 0x8c88b2b42080 |      10 |       - |         1 | False | 2018-08-30 13:52:20.000000 UTC |                            N/A |                                                                                     \Device\HarddiskVolume2\Windows\System32\csrss.exe |         %SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16 |                                                                           C:\WINDOWS\system32\csrss.exe
****         |   724 |  624 |   winlogon.exe | 0x8c88b2b91480 |       2 |       - |         1 | False | 2018-08-30 13:52:20.000000 UTC |                            N/A |                                                                                  \Device\HarddiskVolume2\Windows\System32\winlogon.exe |                                                                                                                                                                                                                                                 winlogon.exe |                                                                        C:\WINDOWS\system32\winlogon.exe
*****        |   432 |  724 |        dwm.exe | 0x8c88b1887580 |      13 |       - |         1 | False | 2018-08-30 13:52:21.000000 UTC |                            N/A |                                                                                       \Device\HarddiskVolume2\Windows\System32\dwm.exe |                                                                                                                                                                                                                                                    "dwm.exe" |                                                                             C:\WINDOWS\system32\dwm.exe
*****        |  5952 |  724 |   userinit.exe | 0x8c88b0515580 |       0 |       - |         1 | False | 2018-08-30 13:53:43.000000 UTC | 2018-08-30 13:54:28.000000 UTC |                                                                                  \Device\HarddiskVolume2\Windows\System32\userinit.exe |                                                                                                                                                                                                                                                            - |                                                                                                       -
******       |  5988 | 5952 |   explorer.exe | 0x8c88b0590080 |      39 |       - |         1 | False | 2018-08-30 13:53:44.000000 UTC |                            N/A |                                                                                           \Device\HarddiskVolume2\Windows\explorer.exe |                                                                                                                                                                                                                                      C:\WINDOWS\Explorer.EXE |                                                                                 C:\WINDOWS\Explorer.EXE
*******      |  8128 | 5988 |    OUTLOOK.EXE | 0x8c88b3a22080 |      57 |       - |         1 |  True | 2018-08-30 13:54:05.000000 UTC |                            N/A |                                                 \Device\HarddiskVolume2\Program Files (x86)\Microsoft Office\root\Office16\OUTLOOK.EXE |                                                                                                                                                                                 "C:\Program Files (x86)\Microsoft Office\root\Office16\OUTLOOK.EXE" /restore |                                       C:\Program Files (x86)\Microsoft Office\root\Office16\OUTLOOK.EXE
*******      |  7868 | 5988 |   Dashlane.exe | 0x8c88aec1a080 |      17 |       - |         1 |  True | 2018-08-30 13:54:03.000000 UTC |                            N/A |                                                            \Device\HarddiskVolume2\Users\tdungan\AppData\Roaming\Dashlane\Dashlane.exe |                                                                                                                                                                                 "C:\Users\tdungan\AppData\Roaming\Dashlane\Dashlane.exe" autoLaunchAtStartup |                                                  C:\Users\tdungan\AppData\Roaming\Dashlane\Dashlane.exe
*******      |  7752 | 5988 |   vmtoolsd.exe | 0x8c88b16e6080 |       5 |       - |         1 | False | 2018-08-30 13:54:02.000000 UTC |                            N/A |                                                                 \Device\HarddiskVolume2\Program Files\VMware\VMware Tools\vmtoolsd.exe |                                                                                                                                                                                                 "C:\Program Files\VMware\VMware Tools\vmtoolsd.exe" -n vmusr |                                                       C:\Program Files\VMware\VMware Tools\vmtoolsd.exe
*******      |  7944 | 5988 |    runonce.exe | 0x8c88b16e5080 |       0 |       - |         1 |  True | 2018-08-30 13:54:04.000000 UTC | 2018-08-30 13:54:10.000000 UTC |                                                                                   \Device\HarddiskVolume2\Windows\SysWOW64\runonce.exe |                                                                                                                                                                                                                                                            - |                                                                                                       -
********     |  7392 | 7944 |     shstat.exe | 0x8c88b532b080 |       0 |       - |         1 |  True | 2018-08-30 13:54:07.000000 UTC | 2018-08-30 13:54:13.000000 UTC |                                                     \Device\HarddiskVolume2\Program Files (x86)\McAfee\VirusScan Enterprise\shstat.exe |                                                                                                                                                                                                                                                            - |                                                                                                       -
********     |  6036 | 7944 |  UpdaterUI.exe | 0x8c88b17b8080 |       6 |       - |         1 |  True | 2018-08-30 13:54:06.000000 UTC |                            N/A |                                                                   \Device\HarddiskVolume2\Program Files\McAfee\Agent\x86\UpdaterUI.exe |                                                                                                                                                                                         "C:\Program Files\McAfee\Agent\x86\UpdaterUI.exe" /StartedFromRunKey |                                                         C:\Program Files\McAfee\Agent\x86\UpdaterUI.exe
*********    |  2284 | 6036 |     mctray.exe | 0x8c88b16f0080 |      26 |       - |         1 |  True | 2018-08-30 13:54:11.000000 UTC |                            N/A |                                                                      \Device\HarddiskVolume2\Program Files\McAfee\Agent\x86\mctray.exe |                                                                                                                                                                                                                                                        /load |                                                            C:\Program Files\McAfee\Agent\x86\McTray.exe
*******      |  7892 | 5988 | DashlanePlugin | 0x8c88b05c6080 |       8 |       - |         1 |  True | 2018-08-30 13:54:04.000000 UTC |                            N/A |                                                      \Device\HarddiskVolume2\Users\tdungan\AppData\Roaming\Dashlane\DashlanePlugin.exe |                                                                                                                                                                                            "C:\Users\tdungan\AppData\Roaming\Dashlane\DashlanePlugin.exe" ws |                                            C:\Users\tdungan\AppData\Roaming\Dashlane\DashlanePlugin.exe
*******      |  7676 | 5988 |   MSASCuiL.exe | 0x8c88b0f92080 |       1 |       - |         1 | False | 2018-08-30 13:54:01.000000 UTC |                            N/A |                                                                    \Device\HarddiskVolume2\Program Files\Windows Defender\MSASCuiL.exe |                                                                                                                                                                                                                                                            - |                                                                                                       -
*******      |  7804 | 5988 |   OneDrive.exe | 0x8c88aec37080 |      23 |       - |         1 |  True | 2018-08-30 13:54:03.000000 UTC |                            N/A |                                                    \Device\HarddiskVolume2\Users\tdungan\AppData\Local\Microsoft\OneDrive\OneDrive.exe |                                                                                                                                                                                 "C:\Users\tdungan\AppData\Local\Microsoft\OneDrive\OneDrive.exe" /background |                                          C:\Users\tdungan\AppData\Local\Microsoft\OneDrive\OneDrive.exe
*****        |   892 |  724 | fontdrvhost.ex | 0x8c88b2f3a580 |       5 |       - |         1 | False | 2018-08-30 13:52:21.000000 UTC |                            N/A |                                                                               \Device\HarddiskVolume2\Windows\System32\fontdrvhost.exe |                                                                                                                                                                                                                                            "fontdrvhost.exe" |                                                                     C:\WINDOWS\system32\fontdrvhost.exe
*****        |  8500 |  724 |    LogonUI.exe | 0x8c88b18fb580 |       6 |       - |         1 | False | 2018-08-30 20:16:57.000000 UTC |                            N/A |                                                                                   \Device\HarddiskVolume2\Windows\System32\LogonUI.exe |                                                                                                                                                                                               "LogonUI.exe" /flags:0x0 /state0:0xa33aa055 /state1:0x41c64e6d |                                                                         C:\WINDOWS\system32\LogonUI.exe
***          |  8200 |  388 |       smss.exe | 0x8c88b55d2580 |       0 |       - |         3 | False | 2018-08-31 14:52:29.000000 UTC | 2018-08-31 14:52:31.000000 UTC |                                                                                      \Device\HarddiskVolume2\Windows\System32\smss.exe |                                                                                                                                                                                                                                                            - |                                                                                                       -
****         |  4048 | 8200 |      csrss.exe | 0x8c88b2d27580 |      11 |       - |         3 | False | 2018-08-31 14:52:31.000000 UTC |                            N/A |                                                                                     \Device\HarddiskVolume2\Windows\System32\csrss.exe |         %SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16 |                                                                           C:\WINDOWS\system32\csrss.exe
