Volatility 3 Framework 2.27.0

PID	Process	Base	Size	Name	Path	LoadCount	LoadTime	File output

8260	p.exe	0x400000	0x51000	p.exe	c:\windows\temp\perfmon\p.exe	-1	2018-08-30 22:15:18.000000 UTC	Disabled
8260	p.exe	0x7ff83df00000	0x1e0000	ntdll.dll	C:\WINDOWS\SYSTEM32\ntdll.dll	-1	2018-08-30 22:15:18.000000 UTC	Disabled
8260	p.exe	0x7ff83b3d0000	0xae000	KERNEL32.DLL	C:\WINDOWS\System32\KERNEL32.DLL	-1	2018-08-30 22:15:18.000000 UTC	Disabled
8260	p.exe	0x7ff83a660000	0x266000	KERNELBASE.dll	C:\WINDOWS\System32\KERNELBASE.dll	-1	2018-08-30 22:15:18.000000 UTC	Disabled
8260	p.exe	0x7ff838700000	0x88000	apphelp.dll	C:\WINDOWS\SYSTEM32\apphelp.dll	-1	2018-08-30 22:15:18.000000 UTC	Disabled
8260	p.exe	0x7ff83cd60000	0x9d000	msvcrt.dll	C:\WINDOWS\System32\msvcrt.dll	6	2018-08-30 22:15:18.000000 UTC	Disabled
8260	p.exe	0x7ff83cfd0000	0xa1000	ADVAPI32.dll	C:\WINDOWS\System32\ADVAPI32.dll	6	2018-08-30 22:15:19.000000 UTC	Disabled
8260	p.exe	0x7ff83cc80000	0x5b000	sechost.dll	C:\WINDOWS\System32\sechost.dll	6	2018-08-30 22:15:19.000000 UTC	Disabled
8260	p.exe	0x7ff83cb60000	0x11f000	RPCRT4.dll	C:\WINDOWS\System32\RPCRT4.dll	6	2018-08-30 22:15:19.000000 UTC	Disabled
8260	p.exe	0x7ff831d20000	0x335000	WININET.dll	C:\WINDOWS\SYSTEM32\WININET.dll	6	2018-08-30 22:15:19.000000 UTC	Disabled
8260	p.exe	0x7ff83d080000	0x6c000	WS2_32.dll	C:\WINDOWS\System32\WS2_32.dll	6	2018-08-30 22:15:19.000000 UTC	Disabled
8260	p.exe	0x7ff839850000	0xb6000	DNSAPI.dll	C:\WINDOWS\SYSTEM32\DNSAPI.dll	6	2018-08-30 22:15:19.000000 UTC	Disabled
8260	p.exe	0x7ff83b480000	0x8000	NSI.dll	C:\WINDOWS\System32\NSI.dll	6	2018-08-30 22:15:19.000000 UTC	Disabled
