Volatility 3 Framework 2.27.0

Offset	Name

0x8c88aea464c0	\$Extend\$RmMetadata\$Repair
0x8c88aea496d0	\CMApi
0x8c88aea4c430	\Windows\System32\shfolder.dll
0x8c88aea50980	\Windows\System32\BFE.DLL
0x8c88aea56270	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aea6cdd0	\$Directory
0x8c88aeaaaef0	\Windows\System32\drivers\vmgencounter.sys
0x8c88aeabae10	\CMNotify
0x8c88aeabb230	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeac5d30	\Windows\CSC\v2.0.6
0x8c88aeac6700	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeac6ef0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeac7080	\Program Files\VMware\VMware Tools
0x8c88aeac92e0	\Windows\System32\TimeBrokerClient.dll
0x8c88aeacb6f0	\$Directory
0x8c88aeacbef0	\$Directory
0x8c88aead0720	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aead0c40	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aead4ae0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aead6920	\Users\tdungan\AppData\Local\Temp\McAfeeLogs\UpdaterUI_BASE-RD-01.log
0x8c88aead7830	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aead9060	\Windows\System32\drivers\tsusbhub.sys
0x8c88aead9ef0	\Program Files\VMware\VMware Tools\vmacthlp.exe
0x8c88aeaed6a0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeaf2340	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeaf54c0	\$Directory
0x8c88aeaf6080	\Windows\System32\fveapi.dll
0x8c88aeaf6870	\CMNotify
0x8c88aeaf8570	\Windows\System32\wlancfg.dll
0x8c88aeaf9ca0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeaffac0	\Windows\System32\NapiNSP.dll
0x8c88aeb01290	\Users\tdungan\AppData\Local\Packages\Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy\TempState\TileCache_100_0_Header.bin
0x8c88aeb01560	\Windows\System32\vmhgfs.dll
0x8c88aeb01d90	\Windows\System32\dsreg.dll
0x8c88aeb02700	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeb049d0	\Endpoint
0x8c88aeb13e30	\Windows\System32\svchost.exe
0x8c88aeb17c90	\Windows\System32
0x8c88aeb1ec60	\Windows\System32\winevt\Logs\Microsoft-Windows-Windows Firewall With Advanced Security%4Firewall.evtx
0x8c88aeb21d80	\Windows\System32\drivers\wanarp.sys
0x8c88aeb25ef0	\Windows\System32\en-US\wldap32.dll.mui
0x8c88aeb26200	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeb29d60	\$Directory
0x8c88aeb29ef0	\Windows\System32\winevt\Logs\Microsoft-Windows-Ntfs%4WHC.evtx
0x8c88aeb2d770	\Windows\System32\dusmsvc.dll
0x8c88aeb2da90	\CMApi
0x8c88aeb2e860	\Users\tdungan\AppData\Local\Microsoft\OneDrive\settings\Business1\ClientPolicy.ini
0x8c88aeb33080	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeb33860	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeb37a90	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeb38ef0	\Windows\System32\en-US\bfe.dll.mui
0x8c88aeb3aef0	\Windows\System32\ssdpapi.dll
0x8c88aeb3bac0	\Windows\Registration\R00000000000d.clb
0x8c88aeb3bef0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeb3c9a0	\Windows\System32\en-US\combase.dll.mui
0x8c88aeb401e0	\CMApi
0x8c88aeb408a0	\Windows\System32\winevt\Logs\Application.evtx
0x8c88aeb42080	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeb42230	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aeb428b0	\Windows\System32\wevtapi.dll
0x8c88aeb43340	\Windows\System32\samcli.dll
0x8c88aeb44af0	\Windows\System32\umb.dll
0x8c88aeb45af0	\CMNotify
0x8c88aeb46af0	\CMNotify
0x8c88aeb47b50	\Windows\System32\wevtsvc.dll
0x8c88aeb4a220	\Windows\System32\samlib.dll
0x8c88aeb507b0	\$Extend:$I30:$INDEX_ALLOCATION
0x8c88aeb61560	\Windows\System32\DiskSnapshot.exe
0x8c88aeb6aef0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aec14360	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aec14a30	\Program Files\McAfee\Agent\x86\genevtinf5.dll
0x8c88aec18a30	\Program Files (x86)\Microsoft Office\root\vfs\ProgramFilesCommonX86\Microsoft Shared\OFFICE16\MSO.DLL
0x8c88aec19080	\Windows\System32\winevt\Logs\Microsoft-Windows-Winlogon%4Operational.evtx
0x8c88aec1e7b0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aec20080	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aec22220	\$Directory
0x8c88aec22b50	\$MapAttributeValue
0x8c88aec23ef0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aec243b0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aec25080	\Windows\System32\winevt\Logs\Microsoft-Windows-Partition%4Diagnostic.evtx
0x8c88aec27710	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aec27ef0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aec28880	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aec28ae0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aec2a080	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aec2b7b0	\Windows\System32\combase.dll
0x8c88aec2d290	\Windows\System32\taskhostw.exe
0x8c88aec2d490	\Windows\SysWOW64\dxgi.dll
0x8c88aec2d9c0	\Users\tdungan\OneDrive - Stark Research Labs\.849C9593-D756-4E56-8D6E-42412F2A707B
0x8c88aec2def0	\Windows\System32\Pimstore.dll
0x8c88aec2f190	\Program Files (x86)\Microsoft Office\root\Licenses16\O365ProPlusEDUR_Subscription-ul-oob.xrm-ms
0x8c88aec38130	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aec3e390	\Windows\Prefetch\BROWSER_BROKER.EXE-E6357BB0.pf
0x8c88aec3e580	\Program Files\WindowsApps\Microsoft.VCLibs.140.00_14.0.26706.0_x64__8wekyb3d8bbwe\vcruntime140_app.dll
0x8c88aec3f080	\Users\tdungan\AppData\Local\Microsoft\Windows\Explorer\iconcache_16.db
0x8c88aec3f4c0	\kw_pipe_plugin_dp__________________________________wstdungan
0x8c88aec3fe40	\Windows\Prefetch\BACKGROUNDTASKHOST.EXE-52C87A14.pf
0x8c88aec40d60	\Windows\System32\msprivs.dll
