Progress:    0.00		Scanning FileLayer using PageMapScannerProgress:   23.33		Scanning FileLayer using PageMapScannerProgress:  100.00		Stacking attempts finished             Progress:    0.00		Scanning layer_name using PdbSignatureScannerProgress:    0.00		Scanning layer_name using PdbSignatureScannerProgress:   37.50		Scanning layer_name using PdbSignatureScannerProgress:   37.60		Scanning layer_name using PdbSignatureScannerProgress:   37.70		Scanning layer_name using PdbSignatureScannerProgress:   37.79		Scanning layer_name using PdbSignatureScannerProgress:   37.89		Scanning layer_name using PdbSignatureScannerProgress:   37.99		Scanning layer_name using PdbSignatureScannerProgress:   38.09		Scanning layer_name using PdbSignatureScannerProgress:    0.00		Scanning layer_name using PdbSignatureScannerProgress:    0.00		Scanning layer_name using PdbSignatureScannerProgress:   26.07		Scanning layer_name using PdbSignatureScannerProgress:   26.17		Scanning layer_name using PdbSignatureScannerProgress:   26.27		Scanning layer_name using PdbSignatureScannerProgress:   26.37		Scanning layer_name using PdbSignatureScannerProgress:   26.46		Scanning layer_name using PdbSignatureScannerProgress:   26.56		Scanning layer_name using PdbSignatureScannerProgress:   26.66		Scanning layer_name using PdbSignatureScannerProgress:    0.00		Scanning layer_name using PdbSignatureScannerProgress:    0.00		Scanning layer_name using PdbSignatureScannerProgress:  100.00		PDB scanning finished                        Volatility 3 Framework 2.27.0

PID	Process	Base	Size	Name	Path	LoadCount	LoadTime	File output

5848	powershell.exe	0xa30000	0x6c000	powershell.exe	c:\windows\syswow64\windowspowershell\v1.0\powershell.exe	-1	2018-08-30 16:43:42.000000 UTC	Disabled
5848	powershell.exe	0x7ff83df00000	0x1e0000	ntdll.dll	C:\WINDOWS\SYSTEM32\ntdll.dll	-1	2018-08-30 16:43:42.000000 UTC	Disabled
5848	powershell.exe	0x70080000	0x51000	wow64.dll	C:\WINDOWS\System32\wow64.dll	-1	2018-08-30 16:43:42.000000 UTC	Disabled
5848	powershell.exe	0x700e0000	0x76000	wow64win.dll	C:\WINDOWS\System32\wow64win.dll	6	2018-08-30 16:43:42.000000 UTC	Disabled
5848	powershell.exe	0x70160000	0xa000	wow64cpu.dll	C:\WINDOWS\System32\wow64cpu.dll	6	2018-08-30 16:43:42.000000 UTC	Disabled
5848	powershell.exe	0xa30000	0x6c000	powershell.exe	c:\windows\syswow64\windowspowershell\v1.0\powershell.exe	-	1600-10-05 15:56:12.000000 UTC	Disabled
5848	powershell.exe	0x772a0000	0x18c000	ntdll.dll	C:\WINDOWS\SYSTEM32\ntdll.dll	-	1746-12-01 11:59:07.000000 UTC	Disabled
5848	powershell.exe	0x77060000	0xd0000	KERNEL32.DLL	C:\WINDOWS\System32\KERNEL32.DLL	-	1691-02-02 11:31:27.000000 UTC	Disabled
5848	powershell.exe	0x758b0000	0x1d7000	KERNELBASE.dll	C:\WINDOWS\System32\KERNELBASE.dll	-	1691-02-02 11:31:27.000000 UTC	Disabled
5848	powershell.exe	0x77130000	0xbd000	msvcrt.dll	C:\WINDOWS\System32\msvcrt.dll	-	1715-01-24 18:50:31.000000 UTC	Disabled
5848	powershell.exe	0x76300000	0x93000	OLEAUT32.dll	C:\WINDOWS\System32\OLEAUT32.dll	-	1691-02-02 11:31:27.000000 UTC	Disabled
5848	powershell.exe	0x771f0000	0x7c000	msvcp_win.dll	C:\WINDOWS\System32\msvcp_win.dll	-	1691-02-02 11:31:27.000000 UTC	Disabled
5848	powershell.exe	0x75330000	0x117000	ucrtbase.dll	C:\WINDOWS\System32\ucrtbase.dll	-	1691-02-02 11:31:27.000000 UTC	Disabled
5848	powershell.exe	0x76e10000	0x246000	combase.dll	C:\WINDOWS\System32\combase.dll	-	1691-02-02 11:31:27.000000 UTC	Disabled
5848	powershell.exe	0x75450000	0xbe000	RPCRT4.dll	C:\WINDOWS\System32\RPCRT4.dll	-	1601-01-01 02:08:50.000000 UTC	Disabled
5848	powershell.exe	0x73cc0000	0x20000	SspiCli.dll	C:\WINDOWS\System32\SspiCli.dll	-	1691-02-02 11:31:27.000000 UTC	Disabled
5848	powershell.exe	0x73cb0000	0xa000	CRYPTBASE.dll	C:\WINDOWS\System32\CRYPTBASE.dll	-	1691-02-02 11:31:27.000000 UTC	Disabled
5848	powershell.exe	0x752d0000	0x57000	bcryptPrimitives.dll	C:\WINDOWS\System32\bcryptPrimitives.dll	-	N/A	Disabled
5848	powershell.exe	0x75570000	0x43000	sechost.dll	C:\WINDOWS\System32\sechost.dll	-	N/A	Disabled
5848	powershell.exe	0x75c20000	0x78000	ADVAPI32.dll	C:\WINDOWS\System32\ADVAPI32.dll	-	1678-08-08 10:10:11.000000 UTC	Disabled
5848	powershell.exe	0x76cb0000	0xf7000	OLE32.dll	C:\WINDOWS\System32\OLE32.dll	-	1671-06-20 01:18:42.000000 UTC	Disabled
5848	powershell.exe	0x77270000	0x22000	GDI32.dll	C:\WINDOWS\System32\GDI32.dll	-	1718-12-31 23:14:51.000000 UTC	Disabled
5848	powershell.exe	0x75120000	0x15f000	gdi32full.dll	C:\WINDOWS\System32\gdi32full.dll	-	1714-11-13 23:36:21.000000 UTC	Disabled
5848	powershell.exe	0x75cc0000	0x175000	USER32.dll	C:\WINDOWS\System32\USER32.dll	-	1714-10-14 12:59:03.000000 UTC	Disabled
5848	powershell.exe	0x763a0000	0x16000	win32u.dll	C:\WINDOWS\System32\win32u.dll	-	1715-07-05 10:37:46.000000 UTC	Disabled
5848	powershell.exe	0x70f40000	0x18000	ATL.DLL	C:\WINDOWS\SYSTEM32\ATL.DLL	-	-	Disabled
5848	powershell.exe	0x6de20000	0x54000	mscoree.dll	C:\WINDOWS\SYSTEM32\mscoree.dll	-	3427-12-23 11:23:06.000000 UTC	Disabled
5848	powershell.exe	0x64280000	0x7d000	mscoreei.dll	C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscoreei.dll	-	1714-10-15 09:01:39.000000 UTC	Disabled
5848	powershell.exe	0x75280000	0x45000	SHLWAPI.dll	C:\WINDOWS\System32\SHLWAPI.dll	-	1714-11-02 14:38:13.000000 UTC	Disabled
5848	powershell.exe	0x75110000	0xe000	kernel.appcore.dll	C:\WINDOWS\System32\kernel.appcore.dll	-	1719-01-07 02:13:51.000000 UTC	Disabled
5848	powershell.exe	0x72d40000	0x8000	VERSION.dll	C:\WINDOWS\SYSTEM32\VERSION.dll	-	1714-10-13 10:15:36.000000 UTC	Disabled
5848	powershell.exe	0x56b00000	0x6ef000	clr.dll	C:\Windows\Microsoft.NET\Framework\v4.0.30319\clr.dll	-	N/A	Disabled
5848	powershell.exe	0x70d40000	0xf5000	MSVCR120_CLR0400.dll	C:\WINDOWS\SYSTEM32\MSVCR120_CLR0400.dll	-	-	Disabled
5848	powershell.exe	0x55770000	0x138f000	mscorlib.ni.dll	C:\WINDOWS\assembly\NativeImages_v4.0.30319_32\mscorlib\06b781a8e94c9eafd764737490baf614\mscorlib.ni.dll	-	1714-10-11 18:10:25.000000 UTC	Disabled
5848	powershell.exe	0x72ce0000	0x13000	CRYPTSP.dll	C:\WINDOWS\SYSTEM32\CRYPTSP.dll	-	1714-10-14 19:39:55.000000 UTC	Disabled
5848	powershell.exe	0x72cb0000	0x2f000	rsaenh.dll	C:\WINDOWS\system32\rsaenh.dll	-	1714-10-12 07:32:09.000000 UTC	Disabled
5848	powershell.exe	0x72d20000	0x19000	bcrypt.dll	C:\WINDOWS\SYSTEM32\bcrypt.dll	-	-	Disabled
5848	powershell.exe	0x70cc0000	0x80000	clrjit.dll	C:\Windows\Microsoft.NET\Framework\v4.0.30319\clrjit.dll	-	1719-01-04 20:46:56.000000 UTC	Disabled
5848	powershell.exe	0x54d60000	0xa07000	System.ni.dll	C:\WINDOWS\assembly\NativeImages_v4.0.30319_32\System\5509cf918324641ca8295277033d1024\System.ni.dll	-	1715-07-07 09:23:48.000000 UTC	Disabled
5848	powershell.exe	0x545b0000	0x7a3000	-	-	-	N/A	Disabled
